,User,Date,Compound,Positive,Negative,Neutral,Tweet Text,Tweets Ago
62,@FoxNews,Sun Aug 26 19:10:08 +0000 2018,0.44,0.146,0.0,0.854,"Former Boston Police Commissioner Ed Davis on Jacksonville shooting: ""It's always good practice to rule out additio… https://t.co/Up3dJBcZMo",63
63,@FoxNews,Sun Aug 26 19:08:11 +0000 2018,0.0,0.0,0.0,1.0,"Former Boston Police Commissioner Ed Davis on Jacksonville shooting: ""Oftentimes even though there's only one shoot… https://t.co/elbTmVbpPP",64
64,@FoxNews,Sun Aug 26 19:07:01 +0000 2018,0.0,0.0,0.0,1.0,At least 12 gunshots can be heard in video clip of Madden tournament in Jacksonville. https://t.co/xOJYsFlQ5r https://t.co/EzzasxCQqz,65
65,@FoxNews,Sun Aug 26 19:04:30 +0000 2018,0.0,0.0,0.0,1.0,ATF is responding to the reported mass shooting in downtown Jacksonville. https://t.co/xOJYsFlQ5r https://t.co/wdAjh9q01e,66
66,@FoxNews,Sun Aug 26 19:03:35 +0000 2018,0.0,0.0,0.0,1.0,"Shooting reportedly occurred during a Madden tournament at a game bar in Jacksonville, FL. https://t.co/xOJYsFlQ5r https://t.co/he1TJYFUzN",67
67,@FoxNews,Sun Aug 26 19:03:27 +0000 2018,-0.3,0.0,0.109,0.891,"Former DC Police Det. Ted Williams on Jacksonville shooting: .""If they have one suspect down, [law enforcement is]… https://t.co/Onw4ai5BX9",68
68,@FoxNews,Sun Aug 26 19:00:44 +0000 2018,0.0,0.0,0.0,1.0,"Former DC Police Det. Ted Williams on Jacksonville shooting: ""If in fact law enforcement have some knowledge of an… https://t.co/JrySsMhliX",69
69,@FoxNews,Sun Aug 26 19:00:37 +0000 2018,0.0,0.0,0.0,1.0,ATF is responding to the reported mass shooting in downtown Jacksonville. https://t.co/xOJYsFlQ5r https://t.co/3FX5daQgB9,70
70,@FoxNews,Sun Aug 26 18:58:53 +0000 2018,-0.76,0.0,0.302,0.698,"BREAKING:  One suspect is dead after a shooting unfolded at a Jacksonville, Fla., shopping center on Sunday, police… https://t.co/1M5Hz0DUGT",71
71,@FoxNews,Sun Aug 26 18:55:48 +0000 2018,-0.76,0.0,0.265,0.735,"Jacksonville Sheriff's Office: ""One suspect is dead at the scene, unknown at this time if we have a second suspect.… https://t.co/81325HU1JV",72
72,@FoxNews,Sun Aug 26 18:55:04 +0000 2018,0.0,0.0,0.0,1.0,"Shooting reportedly occurred during a Madden tournament at a game bar in Jacksonville, FL. https://t.co/xOJYsFlQ5r https://t.co/CwkYe8bR7M",73
73,@FoxNews,Sun Aug 26 18:52:21 +0000 2018,-0.6,0.0,0.245,0.755,Jacksonville Sheriff: 'Multiple fatalities' in mass shooting at video game tournament https://t.co/HxOyktZrbd https://t.co/6QrBkOVCP8,74
74,@FoxNews,Sun Aug 26 18:51:29 +0000 2018,-0.6,0.0,0.262,0.738,"'Multiple fatalities' in shooting at Jacksonville shopping center, police say https://t.co/HxOykuh22L https://t.co/7jMAFpLT0B",75
75,@NYTimes,Sun Aug 26 23:16:11 +0000 2018,0.0,0.0,0.0,1.0,My WORKOUT: How One Silicon Valley C.E.O. Masters Work-Life Balance https://t.co/NH84Cqo2hI,1
